word,pos,pos_2,concretenes,familiarity,imagery,aoa,log_freq,freq
agitado,a,a,3.50365039592,4.73033347842,4.15406988737,5.40099576963,8.35890061242,4268
agitador,a,a,4.68288022327,2.91008985164,4.49094484131,7.27401490061,6.41673228251,612
aglomerado,a,a,5.33061604198,3.1347928608,4.68565558697,7.74262367156,8.73584667746,6222
agoniado,a,a,3.76830982549,3.01592808503,3.96345624279,8.13469516881,4.59511985013,99
agônico,a,a,3.98450876773,2.51739782244,3.99353759282,7.36675129191,3.13549421593,23
agourento,a,a,4.12385697772,2.83586095616,4.21291078062,7.89603385299,3.93182563272,51
agradecido,a,a,2.59577755396,4.09534977078,3.36200769889,6.4778596383,7.72841577984,2272
agregado,a,a,3.7983431893,4.23725825589,3.56694280096,5.9882879123,9.19278721273,9826
agressivo,a,a,3.06145336841,4.81487335021,3.69583075303,5.19613675849,9.03872133832,8423
agroecológico,a,a,3.98371478083,2.73622572382,3.96534560529,7.74485093723,3.58351893846,36
agroexportador,a,a,4.6616144162,2.86055038547,4.61087473694,7.19297573821,2.48490664979,12
agropecuário,a,a,4.20444550724,2.40629163707,3.54358729832,8.39736939559,7.09837563859,1210
aguado,a,a,4.543789274,2.92495929989,4.48101366784,6.46303963453,5.53338948873,253
aguçado,a,a,3.49994870118,3.59715619288,3.90922446301,6.21519418825,5.88887795833,361
agudo,a,a,3.60555248285,3.76169043376,3.71298043469,5.7344730093,8.36007143564,4273
aguerrido,a,a,3.20568269163,2.65846446214,3.44851899231,7.48811237211,6.65801104587,779
airoso,a,a,4.0573777898,2.56693432998,4.08837618145,7.54770990799,5.38449506279,218
ajardinado,a,a,4.48819232529,2.55476906591,4.14683328146,7.71128521838,5.43807930892,230
ajoelhado,a,a,5.31982567978,3.05421890149,5.07098868126,5.90784487743,6.41181826771,609
ajuizado,a,a,2.71657911318,3.28617553771,3.11711778109,7.29195141781,5.62040086572,276
ajuramentado,a,a,4.89018925251,2.63231438701,4.45947653186,7.87178456301,3.63758615973,38
alado,a,a,5.81933415621,2.83913461481,5.523298268,5.28573461372,6.75576892198,859
alagadiço,a,a,4.32515240961,2.30253258578,3.99058942397,7.56612362541,5.11198778836,166
alagado,a,a,4.48867083319,3.37578788166,4.47822115935,6.80968450133,6.50578406013,669
alagoano,a,a,4.26597503331,2.0664890288,3.74221343204,7.26579605384,8.50167337976,4923
alambicado,a,a,4.32683096491,2.73185523215,4.27430371078,7.27879827169,2.07944154168,8
alaranjado,a,a,5.75534759051,3.36744186851,5.42079176453,5.80264931103,6.46146817635,640
alazão,a,a,5.61639257059,2.31378798206,5.12052388044,5.99323016451,5.40717177146,223
albanês,a,a,4.39049533766,2.99688223464,3.79543879205,7.96408150975,8.1513333379,3468
alcalino,a,a,4.90719379627,3.23665246885,4.44369567263,5.94388607036,6.4754327167,649
alcantilado,a,a,4.47754752997,2.1354555604,4.21959828182,8.39426162208,3.98898404656,54
alcoólico,a,a,4.19730325796,4.2864896871,3.96989353705,6.70579050674,7.84737183616,2559
alcoolizado,a,a,4.63502467677,2.99033799895,4.57082068108,7.47667920933,6.42648845746,618
aleatório,a,a,3.00700087546,4.26442086192,3.30954769451,6.88893506001,7.84188592898,2545
alegórico,a,a,4.54060535473,3.64162703391,4.45575489823,6.51601524351,7.0021559544,1099
alemão,a,a,4.75491016121,3.94020132331,4.50663328939,4.57644155343,11.7196387761,122963
alentado,a,a,3.76781611224,2.80110681961,3.75106902431,7.91366110725,4.77912349311,119
alérgico,a,a,3.87423325913,4.09804006362,3.96425193732,6.06426479899,7.11476944837,1230
alexandrino,a,a,4.29502918522,2.24546401521,3.96341000373,7.2496373701,7.12205988163,1239
alfabético,a,a,4.14313993171,2.94463589812,4.05164787953,6.62320464746,6.72623340236,834
alfandegário,a,a,4.10741926727,2.35744456175,3.58370928421,9.41792563592,6.15697898559,472
alfanumérico,a,a,4.91659533251,2.93211715962,4.38439175655,8.02729777267,5.53733426702,254
algébrico,a,a,3.72591359447,3.11134798547,3.91139291006,6.91069221825,5.91079664404,369
algemado,a,a,5.28652804696,3.62912305231,4.97517368267,6.35068527589,7.04751722136,1150
algorítmico,a,a,3.35563817216,2.67730280826,3.40723671915,8.63419960303,4.27666611902,72
alheio,a,a,2.66520239173,4.15600217735,3.13872558805,6.73790185948,8.38160253711,4366
aliado,a,a,3.72004258725,3.98002183212,3.55465657071,6.27827340389,9.79846031467,18006
alienado,a,a,2.98104677999,3.23288995632,3.38739119843,7.38480715161,6.64898455002,772
alimentício,a,a,4.95040332265,3.12163830974,4.47896097712,7.18213116277,7.43425738213,1693
alinhado,a,a,3.38144053119,3.9239350664,3.43232207714,7.04192686256,7.72312009227,2260
aliviado,a,a,2.79598740389,4.06993366448,3.52629683357,6.44865992915,7.75276480885,2328
almaço,a,a,4.7270839488,2.78057696713,4.29948928092,7.50033404448,4.15888308336,64
almejado,a,a,2.42223198092,3.50881603051,3.11030004743,8.30933630496,6.48616078894,656
almiscarado,a,a,5.46447097426,2.8271059227,5.10636393521,5.57090425673,4.63472898823,103
aloirado,a,a,4.8564616606,3.00850320445,4.75874938894,7.10804432837,3.40119738166,30
alongado,a,a,5.02943349679,3.54767709186,4.36648057659,5.78218828683,7.38398945798,1610
alopático,a,a,4.12333773095,2.6413592165,4.01057435233,7.4585770281,2.94443897917,19
aloprado,a,a,4.92615994599,2.68632096137,4.66100246943,7.12350045634,4.20469261939,67
alpino,a,a,5.37023587461,2.58368012298,5.93438487449,6.76912972769,7.69530313496,2198
alquebrado,a,a,3.95354615345,2.74226061994,4.13263791966,5.94065793351,4.66343909411,106
altaneiro,a,a,3.614777144,2.12941120199,3.72387987731,7.89033363816,4.78749174278,120
alterado,a,a,3.04657292027,4.22601399876,3.15375919349,6.19243357886,10.5928776842,39850
alternado,a,a,3.75899766786,2.90313396825,3.46791786523,7.28079478166,6.38181601741,591
alternativo,a,a,4.1555603488,4.1787385796,4.32601822453,6.30594061362,9.54716968769,14005
altivo,a,a,3.43199219616,3.21214083988,3.67482592955,6.79621451554,6.64509096951,769
alto,a,a,4.20932497476,5.32936138985,4.44983225799,3.81987251465,12.0496994978,171048
altruístico,a,a,4.16568363334,2.70496864009,4.1139041256,7.76857040541,2.83321334406,17
alusivo,a,a,3.91740312572,3.03272391593,3.82457317405,7.29818707174,6.59167373201,729
alvacento,a,a,4.07386315818,2.46246409816,3.97562115345,7.73406676754,3.55534806149,35
alvadio,a,a,4.49968703281,2.65541775432,4.27839996532,7.33160179263,3.55534806149,35
alveolar,a,a,4.83186783004,2.9038676604,4.21289709229,7.33237908494,6.59304453414,730
alvirrubro,a,a,4.11142852159,2.21413887049,3.83296918276,8.1859960614,7.69893619981,2206
alvissareiro,a,a,3.77336026112,2.58900313458,3.79390805877,7.16254079215,4.09434456222,60
alvoroçado,a,a,3.99233290561,2.97811673565,4.08731473788,6.54693187243,5.13579843705,170
amado,a,a,4.02347184677,4.39997385044,4.67073257723,4.6027229106,9.43003799289,12457
amadorístico,a,a,4.10608073168,2.80636375366,4.07826818564,7.37446160888,2.56494935746,13
amalucado,a,a,4.07065357928,2.8934113452,4.1764831175,7.38993076284,3.98898404656,54
amanteigado,a,a,4.7466042746,3.25416484553,4.60977736714,6.08395533176,4.74493212836,115
amarelado,a,a,5.46885586673,3.75008901117,5.09355464648,5.58883401039,6.95749737088,1051
amarfanhado,a,a,4.39217974746,2.75893566588,4.44426476663,7.1990716271,3.295836866,27
amargo,a,a,3.36233790655,4.48081787131,3.95701679543,4.46757930099,8.40536737623,4471
amargoso,a,a,4.23610794855,2.54158643071,3.97387057572,7.7600210166,3.89182029811,49
amargurado,a,a,3.64413409448,3.49607661755,4.166309021,6.51508394534,6.41181826771,609
amarrado,a,a,5.87464714945,4.19331035609,5.42002863979,4.10660341983,8.15046791162,3465
amarrotado,a,a,4.44159187841,3.24771946662,4.36012584063,7.67100124788,4.90527477844,135
amassado,a,a,5.82588589905,4.31135427538,5.23960588079,6.11882199922,6.41345895717,610
amazônico,a,a,3.76194889515,2.64128053351,3.84260044993,7.78810866925,6.65801104587,779
ambiente,a,a,3.92941876982,5.5042685357,4.38339166635,5.3067373731,12.2901288269,217538
ambíguo,a,a,2.52830897589,3.95030232546,3.07442370011,7.40981996696,7.32974968904,1525
ameaçador,a,a,3.29316920017,3.75366576594,3.86152113747,6.69012643455,7.19067603433,1327
amendoado,a,a,4.45962418529,2.4329248446,4.23056616027,7.61771937705,2.3978952728,11
amenizar,a,a,3.23691311546,3.51432853143,3.6826735307,7.2878737711,8.05356916913,3145
ameno,a,a,2.9248983286,3.8665139194,3.45661399173,6.15326704628,7.74716496652,2315
americanizado,a,a,3.76344238727,2.82858861655,4.07353716355,7.77337775889,4.70048036579,110
americano,a,a,4.90328457476,4.32767030433,4.63442339798,5.62380417058,12.0120144834,164722
ameríndio,a,a,4.61879453155,2.27551687094,4.32543529025,7.70876642669,5.42495001748,227
amigado,a,a,4.28345149404,2.61437994946,4.19419120997,7.26753845832,3.52636052462,34
amistoso,a,a,4.18431043717,3.33135454797,4.30967476997,6.753776489,9.64419855459,15432
amnésico,a,a,4.2949367308,2.54523363937,4.26793064091,8.37523815182,4.69134788223,109
amniótico,a,a,5.9176390427,2.8793502986,4.80521564293,6.39285822473,6.30809844151,549
amofinado,a,a,4.23335601398,2.69424897864,4.25727292985,7.87520960541,2.19722457734,9
amolado,a,a,4.6237066763,2.8157691219,4.59282113554,7.34953508847,3.09104245336,22
amontoado,a,a,4.34665124871,3.51763676962,4.32398305084,6.51005546417,6.75925527066,862
amorenado,a,a,4.28318899509,2.70347468276,4.30307468652,8.12490703339,2.83321334406,17
amorfo,a,a,3.84975769236,2.58947846412,3.8008594407,7.41681018561,5.96614673912,390
amoroso,a,a,3.59208252907,3.97670586524,4.11889782694,6.26301800637,8.86474666091,7078
amplificador,a,a,5.15838199139,3.44852447035,4.75168781697,6.28920876487,7.31920245877,1509
amplo,a,a,3.06646232876,4.56743467006,3.26281603457,6.9346669811,10.1038945769,24438
amputado,a,a,5.13641681657,3.34839715008,4.71624497868,6.41134160994,6.52502965784,682
amuado,a,a,4.19219848098,3.17343653412,4.30254038762,5.59115827796,5.19849703127,181
amulatado,a,a,4.19075057333,2.76069574052,4.22720068398,7.5129057309,2.07944154168,8
amuralhado,a,a,3.96983469298,2.2757094195,3.86075127811,7.21004207953,4.75359019111,116
anabólico,a,a,3.8411462396,2.4587533203,3.57298210577,9.37235335891,4.34380542185,77
anacrônico,a,a,2.85688828754,3.04116299064,3.21752373998,7.46929470417,5.52545293913,251
anaeróbico,a,a,3.59243108592,2.68175325108,3.51981360215,7.3254021739,4.63472898823,103
anaeróbio,a,a,4.01993309464,2.33308846578,3.86706781886,8.73147406484,4.63472898823,103
anafilático,a,a,4.24965926013,2.76149242935,4.30769195826,7.32872693528,5.03043792139,153
analógico,a,a,5.0309182024,3.61121113883,4.85272992777,5.86147941411,7.80751004222,2459
anárquico,a,a,2.64239653222,3.0669680983,3.18935286903,7.39934363698,5.92425579741,374
anatômico,a,a,4.3725456592,3.14551758956,4.2656429745,7.00419406682,5.7899601709,327
andaluz,a,a,4.70681448417,2.70819653371,4.51274104984,7.07141568193,7.18387071506,1318
andino,a,a,4.38765745747,2.28077783502,4.28311436154,6.08006626305,7.03174125876,1132
anedótico,a,a,3.2310310253,3.28383309193,3.31176952995,7.70829820084,5.68697535634,295
anelado,a,a,4.54487785061,2.52514389061,4.44347443381,6.26064238169,4.69134788223,109
anestesiado,a,a,4.72042024209,3.56193360584,4.75943812052,7.15912337326,5.29330482472,199
anestesiologia,sf,s,4.34176359734,2.73871539519,4.20109812274,8.33684870389,5.6058020663,272
anexo,a,a,5.03291961095,4.31342406398,4.20184167018,6.74187077382,11.8881512727,145532
angélico,a,a,4.07908599499,3.02466228411,4.22104575523,5.94115161942,6.10702288774,449
anglicano,a,a,4.02521530394,2.33647791283,3.59484265985,7.92689021106,6.7068623366,818
anglo-saxão,a,a,3.42296838402,2.39076569399,3.5595247491,7.57483285511,6.67834211465,795
angolano,a,a,4.77378562935,3.05119519812,4.41644249918,6.36540557434,9.18348291781,9735
angular,v,v,3.610778088,3.25240649508,3.60648855625,6.95355468922,8.38685668969,4389
anguloso,a,a,4.341279486,2.84401021188,4.20713857669,6.57459852475,4.69134788223,109
angustiado,a,a,3.0668277065,3.58372403312,3.82869230687,6.94240365922,6.68461172767,800
anilado,a,a,4.47955271144,2.32356698851,4.43130423045,7.56089945565,4.21950770518,68
animado,a,a,3.97083632042,4.78761171002,4.81141414008,5.03404005825,9.67224882351,15871
animalesco,a,a,3.00048732518,2.93617267176,3.3563153045,8.53051099606,4.49980967033,90
anímico,a,a,3.34467886107,2.64117901567,3.61536936722,8.49088969515,5.11799381242,167
anódino,a,a,3.0867018836,2.63799812108,3.17556452491,8.45674404185,4.80402104473,122
anômalo,a,a,3.48298286344,2.62838733514,3.42423584008,7.53345970055,5.23110861685,187
anônimo,a,a,3.7174376043,3.59873382245,3.62148166429,7.89790110188,7.84267147498,2547
ansioso,a,a,3.10201303087,4.89675353992,3.99665142597,4.44391650846,8.93577193867,7599
antártico,a,a,4.37053978675,2.80751554067,4.31785821036,7.86466748447,7.63482067775,2069
antecipado,a,a,2.79180581632,4.08428439667,2.79844965151,7.43404532295,8.77632145645,6479
antedatado,a,a,4.50927875382,2.85204372187,4.40407828205,7.212637466,2.3978952728,11
